No,Name,Type,3 Year Funds Offered,3 Year Funds Sold,Est. Most Recent Fund Date,Investor Location,Investor City,Investor State,Investor Country,Portfolio Size,Number of Deals,Website,Average Growth Score
226,Pear.vc,VC,$131.4M,$129.3M,12/13/2016,Bay Area,Palo Alto,CA,USA,0,0,pear.vc,0
227,Flybridge Capital Partners,VC,$129.5M,$0.00,12/16/2014,Boston,Boston,MA,USA,95,172,flybridge.com,109
228,K2 Ventures,VC,$126.0M,$0.00,3/11/2015,Singapore,Singapore,,SGP,0,0,k2.com,0
229,Causeway Media Partners,VC,$125.6M,$125.6M,10/15/2014,Boston,Boston,MA,USA,0,0,causewaymp.com,0
230,KDWC Ventures,VC,$125.0M,$9.6M,12/22/2015,Chicago,Chicago,IL,ISA,0,0,kdwcventures.com,0
231,Marathon Venture Partners,VC,$125.0M,$0.00,12/18/2015,Beijing,Beijing,,CHN,0,0,marathonvp.com,0
232,Fontinalis Partners,VC,$125.0M,$50.6M,11/25/2015,Detroit,Detroit,MI,USA,0,0,fontinalis.com,0
233,HLM Venture Partners,VC,$125.0M,$63.7M,12/29/2015,Boston,Boston,MA,USA,0,0,hlmvp.com,0
234,Next World Capital,VC,$125.0M,$122.8M,5/9/2016,Bay Area,San Francisco,CA,USA,0,0,nextworldcap.com,0
235,OCA Ventures,VC,$125.0M,$47.0M,10/28/2015,Chicago,Chicago,IL,USA,0,0,ocaventures.com,0
236,Bespoke Management,VC,$125.0M,$0.00,3/24/2015,,,,,0,0,,0
237,Elevar Equity,VC,$125.0M,$34.1M,12/17/2014,Seattle,Seattle,WA,USA,0,0,elevarequity.com,0
238,Altitude Life Science Ventures,VC,$125.0M,$50.0M,6/25/2015,Durango,Durango,CO,USA,0,0,altitudefunds.com,0
239,Clear Venture Partners,VC,$121.2M,$121.2M,6/2/2016,Bay Area,Palo Alto,CA,USA,0,0,clear.ventures,0
240,Goldcrest Investments,VC,$120.0M,$0.00,7/30/2015,Dallas,Dallas,TX,USA,0,0,goldcrestinvestments.com,0
241,Jungle Ventures,VC,$120.0M,$0.00,8/31/2015,Singapore,Singapore,,SGP,0,0,jungle-ventures.com,0
242,TVC Capital,VC,$115.0M,$105.8M,12/24/2014,San Diego,San Diego,CA,USA,0,0,tvccapital.com,0
243,Montreux Equity Partners,VC,$114.8M,$89.8M,6/6/2016,Bay Area,San Francisco,CA,USA,0,0,mepvc.com,0
244,RPM Ventures,VC,$110.8M,$4.3M,4/26/2016,Detroit,Ann Arbor,MI,USA,0,0,rpmvc.com,0
245,Tribeca Venture Partners,VC,$110.0M,$10.0M,5/29/2015,New York,New York,NY,USA,0,0,tribecavp.com,0
246,TLV Partners,VC,$110.0M,$110.0M,2/23/2016,Tel Aviv,Tel Aviv-Yafo,,IL,0,0,tlv.partners,0
247,Cueball Capital,VC,$109.8M,$109.8M,3/11/2016,Boston,Boston,MA,USA,0,0,cueball.com,0
248,Georgian Partners,VC,$109.7M,$21.3M,8/12/2014,Toronto,Toronto,CAN-ON,CAN,0,0,georgianpartners.com,0
249,Shoreline Venture Management,VC,$100.0M,$3.9M,4/29/2015,Bay Area,San Mateo,CA,USA,0,0,shorelineventures.com,0
250,Initialized Capital,VC,$100.0M,$0.00,6/6/2016,New York,New York,NY,USA,0,0,initialized.co,0
251,FutureCap,VC,$100.0M,$46.6M,7/16/2015,,,,,0,0,future-cap.com,0
252,Aperture Venture Partners,VC,$100.0M,$49.2M,11/25/2015,New York,New York,NY,USA,0,0,aperturevp.com,0
253,Xfund,VC,$100.0M,$100.0M,12/11/2014,,Cambridge,MA,USA,0,0,xfund.com,0
254,Ecosystem Integrity Fund,VC,$100.0M,$73.4M,1/15/2015,Bay Area,San Francisco,CA,USA,0,0,ecosystemintegrity.com,0
255,The Entrepreneurs' Fund,VC,$100.0M,$8.2M,11/5/2014,Bay Area,San Mateo,CA,USA,0,0,tef.com,0
256,Signia Venture Partners,VC,$100.0M,$65.0M,2/5/2016,Bay Area,Menlo Park,CA,USA,0,0,signiaventurepartners.com,0
257,New Markets Venture Partners,VC,$100.0M,$0.00,6/22/2015,Fulton,Fulton,MD,USA,0,0,newmarketsvp.com,0
258,PointGuard Ventures,VC,$100.0M,$50.0M,6/25/2015,Bay Area,Menlo Park,CA,USA,0,0,pointguardventures.com,0
259,Moment Ventures,VC,$100.0M,$0.00,1/17/2014,Bay Area,Palo Alto,CA,USA,0,0,momentventures.com,0
